Number,Price,Baths,Rooms,Heating,Floors,Parking,Size,Toilets
1,34000,1,3,1,2,1,78,1
2,27950,1,2,0,2,0,55,1
3,28500,1,2,1,2,0,44,1
4,84000,1,4,1,2,1,107,1
5,92500,2,4,1,2,2,129,3
6,26500,1,1,0,2,0,34,1
7,90000,1,4,1,2,2,180,1
8,72500,1,5,1,2,2,163,1
9,34950,1,3,1,2,1,62,1
10,35500,1,4,1,2,4,93,1
11,31500,1,2,0,2,0,67,1
12,27500,1,2,1,2,0,54,1
13,27000,1,3,1,2,0,57,1
14,28250,1,2,0,2,0,58,1
15,53500,1,3,1,2,4,82,1
16,43500,1,3,1,2,1,85,1
17,39950,1,3,1,2,4,68,1
18,34000,1,2,0,1,3,47,1
19,41500,1,3,1,2,1,63,1
20,30500,1,2,1,1,3,46,1
21,36950,1,3,1,2,3,66,1
22,38000,1,2,0,2,3,61,1
23,44000,1,4,1,2,1,83,1
24,42500,1,3,1,2,1,69,1
25,76000,2,4,1,2,2,105,3
26,94000,2,4,1,2,2,136,3
27,32950,1,2,0,1,3,52,1
29,41250,1,3,1,2,1,66,1
30,36950,1,4,1,2,0,101,1
31,49950,1,3,1,2,1,85,1
32,29950,1,3,0,2,0,73,1
33,29450,1,2,0,1,0,55,1
35,54950,1,3,1,2,1,87,2
36,68500,1,3,1,2,1,107,2
38,34950,1,3,1,2,3,67,1
39,26950,1,1,0,1,3,42,1
40,26950,1,1,0,1,3,43,1
41,26450,1,1,0,1,3,38,1
42,28950,1,3,1,2,0,68,1
43,27950,1,3,0,2,0,73,1
44,63000,1,3,1,2,1,116,2
45,65000,2,4,1,2,1,96,3
46,72000,1,4,1,2,2,95,2
47,34950,1,3,1,2,4,72,1
48,28950,1,2,0,2,0,52,1
49,41500,1,3,1,2,0,93,1
50,41950,1,4,1,2,1,113,1
51,34500,1,2,1,2,4,53,1
52,48500,1,3,1,2,1,87,2
53,90000,2,5,1,2,2,110,3
54,57500,2,4,1,2,1,92,3
55,125000,2,4,1,2,2,246,2
56,41500,1,3,1,2,1,62,1
57,33000,1,3,0,2,0,64,1
58,51500,1,4,0,2,4,110,1
59,29950,1,2,0,1,3,52,1
60,34000,1,3,1,2,0,73,1
61,28500,1,2,1,2,0,66,1
62,44850,1,3,0,2,4,72,2
63,44950,1,3,1,2,1,63,1
64,35250,1,2,1,2,4,52,1
65,69950,2,4,1,2,1,101,2
66,53750,1,3,1,2,1,87,1
67,36950,1,3,1,2,1,62,1
68,48250,1,3,1,2,1,56,1
69,35450,1,2,1,2,1,47,1
70,56950,1,4,1,2,1,87,2
71,24950,1,1,1,1,4,48,1
72,45000,1,4,1,3,0,125,1
73,59950,1,4,1,2,1,89,2
74,64500,1,4,1,2,1,106,2
76,25950,1,1,1,1,1,45,1
77,70000,2,3,1,3,1,123,2
78,37500,1,3,0,2,0,87,1
79,65000,2,2,1,2,1,86,2
80,19500,1,1,0,1,4,23,1
81,55000,2,4,1,3,3,96,3
82,37950,2,4,0,2,4,82,2
83,49950,1,4,1,2,1,68,2
84,37950,1,3,0,2,4,66,1
85,38950,1,3,1,2,1,79,1
86,29950,1,2,0,2,0,56,2
87,39950,2,3,1,2,4,75,2
88,64500,1,4,1,2,1,101,2
89,79950,2,4,1,2,2,115,1
90,33950,1,3,1,2,3,65,1
91,45500,1,2,1,2,1,78,1
92,43950,1,2,1,2,1,73,1
93,69950,2,4,1,2,2,83,3
94,62500,1,4,1,2,4,96,2
95,80000,1,3,1,1,1,125,2
96,79950,1,4,1,2,1,104,2
97,83950,2,4,1,2,1,130,3
98,79950,1,4,1,1,1,111,2
99,79950,1,4,1,1,1,114,2
100,57950,1,4,1,2,4,99,1
101,65000,1,4,1,3,1,162,1
102,35500,1,3,1,2,1,76,1
103,87500,2,4,1,2,2,128,3
104,86950,2,4,1,2,2,141,3
105,26950,1,3,0,2,0,67,1
106,57000,1,4,1,2,1,82,2
107,65000,1,2,1,1,1,76,1
108,39995,1,3,1,2,2,82,2
109,43500,1,3,1,2,1,78,1
110,29500,1,3,1,2,0,79,1
111,56950,1,3,1,2,4,75,1
112,47950,1,3,1,2,1,74,1
113,47950,1,3,1,2,2,68,1
114,55000,1,3,1,2,1,82,1
115,31950,1,3,0,2,4,61,1
118,67500,2,5,1,2,2,116,2
119,72500,2,5,1,2,2,99,2
120,27950,1,3,1,1,0,69,1
121,66950,1,4,1,2,1,90,2
122,41950,1,3,1,2,1,69,2
123,32950,1,3,1,2,0,73,1
124,28000,1,2,0,2,0,73,1
125,31500,1,2,1,1,3,59,1
126,34995,1,3,1,2,3,84,2
127,34950,1,2,1,2,1,52,1
128,36250,1,3,1,2,1,78,1
129,35950,1,3,1,2,1,81,1
130,42500,1,2,1,2,4,71,1
131,75000,2,5,1,3,0,143,2
132,28250,1,3,0,3,4,86,1
133,38950,1,3,1,2,1,60,1
134,27950,1,2,0,2,0,59,1
135,26950,1,2,0,1,0,30,1
136,86950,2,5,1,2,2,142,3
137,43000,1,4,1,2,1,127,1
138,63750,1,3,1,2,2,90,2
139,39950,1,3,1,2,1,81,2
140,31500,1,3,1,2,0,70,1
141,25950,1,1,0,1,0,42,1
142,29950,1,1,1,2,4,39,1
143,36500,1,1,1,1,1,38,1
144,79500,2,5,1,3,1,158,2
145,36950,1,3,0,2,1,63,2
146,93000,2,5,1,2,2,128,3
147,92500,2,4,1,2,2,127,3
148,29950,1,2,1,1,3,45,1
149,28950,1,2,1,1,4,45,1
150,39950,1,3,1,2,1,73,1
151,84950,2,5,1,2,1,118,3
152,49950,1,3,1,2,1,69,1
155,42950,1,3,1,2,1,65,1
156,29950,1,3,0,2,4,75,2
157,34950,1,3,1,2,1,65,1
158,38500,1,3,1,2,1,63,1
159,58500,2,4,1,2,1,78,3
160,34950,1,2,1,2,1,58,1
161,37950,1,3,1,2,3,64,1
163,43950,1,3,1,2,1,85,2
164,58950,1,4,1,2,2,96,2
166,48950,1,3,1,2,1,78,2
167,28500,1,3,0,2,0,86,1
168,56950,1,3,1,2,1,81,1
169,69950,1,3,1,1,1,75,1
172,69950,2,4,1,2,2,102,3
174,28950,1,3,0,3,4,80,1
175,28950,1,3,0,2,0,78,2
176,49250,1,4,1,2,1,103,2
177,82500,1,4,1,2,2,110,2
178,87000,2,4,1,2,2,127,3
179,28000,1,2,0,2,0,61,1
180,87500,2,5,1,2,1,157,2
181,73250,2,4,1,2,2,95,3
182,55950,1,4,1,3,4,112,2
183,62500,1,4,1,2,1,94,2
184,58950,1,3,1,1,4,61,1
185,42950,1,3,1,2,1,110,1
186,125000,1,5,1,2,2,141,2
187,61500,1,2,1,1,1,58,1
188,49000,2,4,0,3,1,120,1
189,46950,1,3,1,2,1,82,2
190,43950,1,3,1,2,1,77,2
191,45950,1,3,1,2,1,73,1
192,49500,1,3,1,2,1,81,2
193,29000,1,1,0,2,4,34,1
194,42500,1,4,1,2,1,70,1
195,39950,1,3,1,2,1,86,1
196,46950,1,3,1,2,1,65,1
197,47950,1,3,1,2,1,66,1
198,54950,1,4,1,2,1,74,2
199,55950,1,4,1,2,1,75,2
200,59850,1,2,1,2,1,91,1
201,51500,1,3,0,2,1,73,2
202,69950,1,4,1,2,1,88,2
203,35500,1,2,1,1,1,42,1
204,37950,1,3,1,2,1,81,2
205,27000,1,2,0,2,0,51,1
206,26995,1,3,1,2,0,66,2
207,52500,1,3,1,2,2,72,1
208,62500,1,4,1,2,1,93,2
209,57500,1,3,1,2,1,68,2
210,52500,1,3,1,2,1,69,1
211,42250,1,3,1,2,1,67,1
212,29750,1,3,0,2,0,70,1
213,65000,1,2,1,1,4,60,1
215,38500,1,3,1,2,1,79,1
216,41950,1,3,1,2,1,56,1
217,32950,1,3,1,2,1,69,1
218,31950,1,3,1,2,0,61,1
219,35950,1,2,1,2,4,67,2
220,56950,1,3,1,2,1,87,2
221,41500,1,3,1,2,1,64,1
222,37950,1,3,0,2,1,59,1
223,31500,1,3,0,2,3,58,1
224,43950,1,3,1,2,1,71,2
225,52500,1,4,1,2,1,87,2
226,65950,1,4,0,2,1,95,2
227,34950,1,3,1,2,1,71,1
228,30000,1,2,1,2,3,56,1
229,27000,1,2,0,1,0,55,1
230,58500,1,3,1,2,1,99,1
231,63500,1,2,1,1,1,70,1
232,23500,1,1,0,1,4,51,1
233,26950,1,2,1,1,4,60,1
234,24950,1,1,1,1,4,52,1
235,19950,1,1,0,1,4,18,1
236,40950,1,3,1,2,1,68,1
237,105000,2,5,1,2,2,136,3
238,55950,1,3,1,2,2,71,2
239,58500,1,3,1,2,1,96,2
240,84000,1,4,1,2,1,98,2
241,55950,1,3,1,2,1,90,1
242,47950,2,3,1,2,1,90,2
243,66950,2,4,1,2,1,89,3
244,65950,1,4,1,2,1,103,2
245,65950,1,4,1,2,1,98,2
246,64950,1,4,1,2,1,101,2
247,59950,1,4,1,2,1,101,2
248,105000,2,5,1,2,2,115,3
249,39950,1,3,1,2,4,74,1
250,45250,1,4,1,2,2,82,2
251,30450,1,2,0,1,3,48,1
252,38950,1,3,1,3,1,80,1
253,32500,1,2,0,1,3,50,1
254,32500,1,2,0,1,3,54,1
255,64950,2,4,1,2,1,96,3
256,58950,1,4,1,2,1,78,2
257,30650,1,3,0,2,0,61,1
258,69500,2,2,1,1,2,83,2
259,49950,1,3,1,2,4,76,1
260,75950,1,4,1,2,1,99,2
263,89950,2,4,1,2,2,97,3
264,53950,2,2,1,2,2,68,2
265,51000,1,3,1,2,1,89,2
266,42950,1,3,1,2,4,60,1
267,37950,1,2,0,1,1,48,1
268,49995,1,3,1,2,1,71,2
269,42500,1,3,1,2,1,87,1
270,22000,1,1,1,1,0,39,1
271,39950,1,3,0,2,2,72,1
273,44950,1,3,1,2,1,67,2
274,42950,1,3,1,2,0,67,2
275,46000,1,3,1,2,0,80,2
276,42500,1,3,1,2,1,81,1
279,57950,1,2,1,1,1,53,1
280,48950,1,3,1,2,1,85,1
281,54000,1,4,1,2,1,73,2
282,39950,1,3,1,2,1,73,2
283,31950,1,2,1,1,3,51,1
284,33500,1,2,1,2,3,56,1
285,37550,1,3,1,2,1,65,1
287,33950,1,2,1,1,0,49,1
288,29500,1,2,1,2,0,68,1
289,21950,1,1,1,1,4,38,1
290,25950,1,1,0,1,4,24,1
291,74000,1,5,1,3,0,146,1
292,29950,1,2,0,1,0,42,1
294,35500,1,3,0,2,1,64,1
295,38950,1,3,1,2,4,79,1
296,36950,1,3,1,2,1,61,1
297,54950,1,3,1,1,1,71,1
298,32500,1,2,0,2,4,52,1
299,85000,1,4,1,3,2,166,2
300,54500,1,3,1,2,1,66,2
301,51500,1,3,1,2,4,100,2
302,37950,1,3,1,2,3,60,1
303,67500,1,3,1,2,2,110,2
304,69950,1,4,1,2,1,108,2
305,45500,1,3,1,2,1,90,2
306,56950,1,4,1,2,2,88,2
307,28500,1,2,0,2,0,49,1
308,46500,1,3,0,2,1,76,1
309,68950,2,4,1,1,1,80,1
310,57500,1,3,1,1,1,67,1
311,49950,1,3,1,2,4,86,2
312,35000,2,3,0,2,4,114,2
313,70000,1,3,1,2,1,70,2
314,26750,1,2,1,1,3,52,1
315,54950,1,4,1,2,1,72,2
316,62950,2,4,1,2,1,84,3
317,58500,1,4,1,2,4,100,2
318,29950,1,1,1,2,4,35,1
319,29950,1,1,1,2,0,35,1
320,38950,1,2,1,2,0,84,1
321,62000,1,3,0,3,3,113,1
322,72500,1,3,1,1,1,85,1
323,68500,1,5,1,1,2,100,1
325,34500,1,3,1,2,1,83,1
326,38950,1,3,0,2,1,58,1
327,90000,1,7,0,3,1,178,1
328,85000,1,6,0,3,4,189,1
329,60000,1,5,0,3,4,135,2
330,36000,1,3,0,2,0,68,1
331,47995,1,3,1,3,4,118,1
332,42950,1,3,1,2,1,74,1
333,67500,1,3,1,2,1,96,1
334,65000,1,5,1,2,4,117,1
335,37500,1,3,1,2,1,77,1
336,79950,2,4,1,2,2,93,3
337,29950,1,2,0,2,3,62,1
338,64950,1,3,1,2,1,75,2
339,92500,2,4,1,2,2,132,3
340,59750,1,3,1,1,1,79,1
341,36250,1,3,1,2,3,84,1
342,35500,1,3,0,2,1,62,1
343,38950,1,3,1,2,1,76,1
344,33500,1,2,0,2,3,52,1
345,57950,1,4,1,3,4,113,1
346,55950,1,4,0,2,4,108,1
347,47950,1,3,1,2,1,73,2
348,28950,1,2,0,2,0,56,1
349,59000,1,4,1,2,2,82,2
350,61000,1,4,1,2,1,92,2
351,54950,1,3,1,2,1,77,2
352,87000,2,4,1,2,2,251,3
353,45500,1,2,1,1,1,54,1
354,47950,1,5,1,2,1,90,1
355,38000,1,2,0,1,4,54,1
356,35500,1,2,0,1,4,58,1
357,54950,1,2,1,2,4,57,1
358,33500,1,3,0,2,4,64,1
359,68950,2,4,1,2,2,98,3
360,69950,2,4,1,2,2,96,3
361,68000,2,3,1,2,2,100,2
362,67500,1,4,1,2,1,104,2
363,63500,1,4,1,2,1,82,2
364,34500,1,2,0,1,3,39,1
365,42000,1,3,1,2,1,73,1
366,70000,1,5,1,2,0,226,1
367,37500,1,3,1,2,1,54,1
368,75950,2,5,1,2,1,96,2
369,44850,1,2,1,1,4,58,1
370,52000,1,3,1,2,1,110,1
371,59950,1,3,1,2,2,92,1
372,87950,1,3,1,3,1,103,2
373,72500,2,4,0,2,2,110,2
374,61500,2,4,1,3,1,95,3
375,49500,1,4,1,2,1,87,2
376,31995,1,3,0,2,0,67,1
377,41950,1,3,1,2,1,62,1
378,62500,2,4,1,2,1,121,2
380,49950,1,3,1,2,1,99,1
381,46250,1,3,1,2,1,62,1
382,36995,1,2,0,2,1,61,1
383,47250,1,4,1,2,1,93,1
384,85000,1,2,1,1,2,90,2
385,85000,1,4,1,2,1,130,2
386,32950,1,3,0,2,4,79,2
387,36000,1,3,1,2,1,66,1
388,33995,1,3,0,2,3,82,1
389,48950,1,3,1,2,1,64,1
390,42950,1,3,1,2,1,64,1
391,25750,1,2,1,2,0,51,1
392,69500,1,5,1,3,0,132,2
393,69950,1,2,1,2,2,113,1
394,93000,2,4,1,2,2,131,2
395,36950,1,3,1,2,2,75,1
396,84000,2,5,1,2,1,127,2
397,56950,1,4,1,2,1,87,1
399,39950,1,3,1,2,3,69,1
400,49950,1,3,1,2,0,85,2
402,37950,1,3,0,3,1,74,2
403,32950,1,2,0,1,1,54,1
404,28950,1,3,1,2,1,58,1
405,48950,1,3,1,2,1,99,2
406,33500,1,2,0,2,4,49,1
407,28500,1,1,0,1,4,26,1
408,45950,1,3,1,2,1,79,2
409,45000,1,3,1,2,4,86,1
410,51500,1,3,1,2,1,82,2
411,29950,1,2,1,2,3,61,2
412,34500,1,3,1,2,1,75,1
413,29000,1,3,0,2,0,51,1
414,32500,1,3,0,2,0,62,1
415,29950,1,2,1,2,4,57,1
416,55000,1,3,1,2,4,98,1
417,28950,1,2,1,2,0,53,1
418,56000,2,3,1,2,2,68,3
419,57500,2,4,1,2,1,78,3
420,30250,1,3,0,2,0,57,1
421,42950,1,3,1,2,3,66,1
422,58750,1,3,1,2,1,72,1
423,76500,1,3,1,1,4,108,1
424,79500,1,3,1,1,1,112,1
425,41950,1,3,1,2,1,87,1
426,27500,1,2,1,2,0,60,1
427,59950,1,4,1,2,1,88,2
428,32950,1,2,0,1,3,55,1
429,36995,1,2,1,2,1,60,1
430,47950,1,4,1,3,1,127,2
431,45000,2,4,1,3,1,139,2
432,46500,1,3,1,2,1,84,1
433,59995,1,4,1,2,1,92,2
434,34995,1,3,1,2,1,70,1
436,65950,1,2,1,1,1,71,2
437,110000,2,4,1,2,2,101,1
438,185000,3,8,1,4,4,496,5
439,31950,1,3,0,2,0,74,1
440,28500,1,1,0,2,4,35,1
442,55950,1,3,1,2,2,74,2
443,31950,1,2,1,2,3,50,1
444,68500,1,4,1,2,2,100,2
445,52500,1,4,1,2,1,79,2
446,35000,1,2,1,1,0,47,1
447,27500,1,2,0,2,0,51,1
449,69500,1,3,1,2,1,82,1
450,28250,1,2,0,1,1,61,1
451,39950,1,3,1,2,1,75,1
452,58950,1,4,1,2,1,104,1
453,77500,1,3,1,2,1,105,1
454,97500,1,5,1,2,2,161,3
455,55950,1,4,1,2,2,89,2
456,54995,1,4,1,2,3,92,1
457,41950,1,3,1,2,1,59,1
458,30000,1,2,0,2,0,66,1
459,42950,1,3,1,2,1,83,1
460,25500,1,2,0,2,3,48,1
461,67950,2,4,1,2,2,94,3
462,31500,1,1,0,1,4,39,1
463,32950,1,3,0,2,4,63,1
464,38950,1,4,1,2,1,89,2
465,62500,1,4,1,2,1,110,2
466,51000,1,3,0,2,1,75,1
467,52950,1,3,1,2,1,75,1
468,61950,1,3,1,2,1,76,2
469,157500,2,4,1,2,2,97,2
470,69950,2,2,1,2,4,97,2
471,57950,1,3,1,2,2,79,1
472,26950,1,2,0,2,0,51,1
473,77950,1,4,1,2,1,113,2
474,52000,1,3,1,2,2,71,1
475,70000,1,3,1,2,1,97,1
476,72950,1,3,1,2,1,88,2
477,95000,2,4,1,2,2,188,2
478,46950,1,3,1,2,4,81,1
479,69950,1,4,1,2,2,104,2
480,42950,1,3,1,2,1,66,2
481,36950,1,3,1,2,1,69,1
482,72950,1,3,1,2,2,105,1
483,53000,1,2,1,1,1,60,1
484,115000,2,4,1,2,2,155,3
485,78000,1,4,1,2,1,96,2
486,53500,1,4,1,2,1,78,2
487,27995,1,2,1,2,0,55,2
488,69450,2,2,1,1,1,73,2
489,59500,1,2,1,1,1,44,1
490,63450,2,2,1,1,1,64,2
